name,city,district,traffic,longitude,latitude
GARE DU NORD,Paris,10,49977513,48.8799654432891,2.35470307836603
SAINT-LAZARE,Paris,8,44939493,48.8755778691635,2.326185658552
GARE DE LYON ,Paris,12,34895701,48.8447045450658,2.37406590751466
MONTPARNASSE-BIENVENUE,Paris,14,31919734,48.8430428502558,2.32263505064878
GARE DE L'EST,Paris,10,19989528,48.8760613055252,2.35791867724751
REPUBLIQUE,Paris,11,16953175,48.8674860390566,2.36366959820676
BIBLIOTHEQUE,Paris,13,15472531,48.829605,2.376092
LES HALLES,Paris,1,15347160,48.862194721152,2.34583626729201
LA DEFENSE,Puteaux,,14275382,48.8919344692345,2.23788279833084
CHATELET,Paris,1,13929657,48.8585195224421,2.34711940104793
BASTILLE,Paris,12,13706765,48.8528417309667,2.36918060506559
OPERA,Paris,9,12269711,48.8707029411588,2.33180515640395
HOTEL DE VILLE,Paris,4,11953352,48.8567695272423,2.35149453979435
BELLEVILLE,Paris,10,11558246,48.8720416041714,2.37680560769084
PLACE D'ITALIE,Paris,13,11534907,48.8314061535553,2.35572137338498
ESPLANADE DE LA DEFENSE,Puteaux,,9843051,48.887843122138,2.25044232471862
DAUMESNIL,Paris,12,9751180,48.8393629125482,2.39584590805199
STRASBOURG-SAINT-DENIS,Paris,2,9751180,48.8691997057755,2.35409710573389
NATION,Paris,12,9541406,48.8484657505532,2.39590574456544
PALAIS-ROYAL,Paris,1,9385220,48.8628468213553,2.33581661194832
PLACE CLICHY,Paris,17,9356430,48.8836233671973,2.32730682210246
CHARLES DE GAULLE-ETOILE,Paris,8,9067635,48.8744076036607,2.29576268465124
PORTE MAILLOT,Paris,16,8998134,48.877964502968,2.28183617255428
TROCADERO,Paris,16,8973095,48.8629708358403,2.2870198439694
SAINT-MICHEL,Paris,5,8797595,48.8532875817267,2.34346845196892
PORTE DE CLIGNANCOURT,Paris,18,8699614,48.8972870603971,2.34477887737988
BARBES-ROCHECHOUART,Paris,18,8392009,48.8836207315381,2.34973719426844
GARE D'AUSTERLITZ,Paris,13,8375268,48.8431055835176,2.36431304821499
LA MOTTE-PICQUET-GRENELLE,Paris,15,8280583,48.8491605024288,2.29794929910712
BIR-HAKEIM,Paris,15,8157090,48.8543331586284,2.28878285580103
HAVRE-CAUMARTIN,Paris,9,7899688,48.8733427700542,2.3285077502868
